5001,25.90,1,40, 3, 1,"FwdWin          ",9.03,"751DBD5E62684C338B366DF1260052CB"
5002,"25USN   ","8012-022","CP15-915"
5003,"        ","UNDERSEA","SR-17 NB","F25"
5010,1,0,1,0,1,1,0,2,1,1,1,1,0,0,1,0,0,0,0,0,1,"MDB","US","meters"
5011,0,1,2021,07,13,10,50,0,"Non",000
5200,"7999    ",2,1.003, 64.8,  0.02,  3.019
5201,"10051   ",4,0.995,0.968
5202,"10052   ",4,0.994,0.974
5203,"10053   ",4,0.995,0.968
5204,"10054   ",4,0.993,0.968
5205,"10055   ",4,0.993,0.974
5206,"10056   ",4,0.995,0.974
5207,"10057   ",4,0.993,0.993
5208,"10058   ",4,0.998,0.974
5209,"10059   ",4,0.996,0.968
5210,"NA      ",0,0.000,0.000
5211,"NA      ",0,0.000,0.000
5212,"NA      ",0,0.000,0.000
5213,"NA      ",0,0.000,0.000
5214,"NA      ",0,0.000,0.000
5215,"NA      ",0,0.000,0.000
5216,"NA      ",0,0.000,0.000
5217,"NA      ",0,0.000,0.000
5218,"NA      ",0,0.000,0.000
5020,  5.91,  0.00,-12.00,  8.00, 12.00, 18.00, 24.00, 36.00, 48.00, 60.00,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    
5021, 11.81,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    ,N0    
5022,1,   0,   0, 2.75, 4.30, 5.70,11.00,
5023,1,3,0,     251,    5560,    5560,     306,   0.000,1,1
5024,0,0,0,0,0,0,   4.8, 2.0,   2.0, 2.0,1,0,0,  60
5029,      22,      66,   38873,  188766
5030,"                                "
5031
5032
5301,0,1,3,2,    5560,1,1,        ,2021,07,13,10,50
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.2, 81.0
5041,"                "
5042,"                "
5043,"                "
5044,"                "
7901,"Start NB File RP-47+00 DMI 0"
7901,"Start NB test DMI 250"
5280,0,140718.0, 41.33206012, -86.33561957, 248.91, 2,10,   0,  0
5301,0,1,3,2,     251,1,1,        ,2021,07,13,10,28
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.6, 79.7
   1,  66.5,  4.39,  3.62,  3.91,  3.62,  3.23,  2.94,  2.20,  1.65,  1.20
   2,  86.4,  5.75,  4.68,  5.07,  4.69,  4.19,  3.83,  2.86,  2.16,  1.58
   3, 103.4,  6.83,  5.56,  6.05,  5.61,  5.02,  4.57,  3.43,  2.57,  1.88
5280,0,140821.0, 41.33299550, -86.33339186, 248.12, 2,10,   0,  0
5301,0,1,3,2,     501,1,1,        ,2021,07,13,10,29
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.3, 79.9
   1,  66.6,  4.41,  2.96,  3.38,  3.01,  2.63,  2.30,  1.79,  1.38,  1.07
   2,  86.9,  5.74,  3.86,  4.43,  3.93,  3.44,  3.02,  2.33,  1.81,  1.39
   3, 103.8,  6.87,  4.61,  5.30,  4.71,  4.12,  3.61,  2.80,  2.18,  1.69
5280,0,140919.0, 41.33522688, -86.33317410, 248.81, 2,10,   0,  0
5301,0,1,3,2,     751,1,1,        ,2021,07,13,10,30
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.6, 81.1
   1,  61.4, 12.67,  8.04,  9.48,  7.67,  5.81,  4.23,  2.47,  1.60,  1.16
   2,  80.9, 16.94, 10.90, 12.85, 10.45,  7.99,  5.82,  3.41,  2.21,  1.54
   3,  97.1, 20.61, 13.36, 15.77, 12.88,  9.88,  7.21,  4.23,  2.76,  1.86
5280,0,141007.0, 41.33562167, -86.33030499, 247.88, 2,10,   0,  0
5301,0,1,3,2,    1002,1,1,        ,2021,07,13,10,31
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.9, 79.4
   1,  65.0,  8.13,  4.94,  5.92,  4.76,  3.74,  3.03,  2.13,  1.59,  1.21
   2,  85.0, 10.32,  6.33,  7.53,  6.12,  4.86,  3.95,  2.81,  2.12,  1.61
   3, 101.7, 12.17,  7.49,  8.91,  7.26,  5.79,  4.72,  3.34,  2.52,  1.93
5280,0,141053.0, 41.33699492, -86.32862500, 243.91, 2,10,   0,  0
5301,0,1,3,2,    1251,1,1,        ,2021,07,13,10,31
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.6, 80.6
   1,  63.5, 10.47,  6.58,  8.11,  6.56,  4.90,  3.75,  2.38,  1.65,  1.24
   2,  83.2, 13.48,  8.52, 10.40,  8.47,  6.39,  4.93,  3.13,  2.24,  1.63
   3,  99.8, 15.90, 10.10, 12.32, 10.07,  7.64,  5.93,  3.78,  2.71,  2.02
5280,0,141204.0, 41.33844927, -86.32679921, 244.49, 2,10,   0,  0
5301,0,1,3,2,    1500,1,1,        ,2021,07,13,10,33
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 82.3, 80.0
   1,  63.3, 17.68, 12.02, 14.13, 11.45,  8.51,  6.14,  3.13,  1.59,  0.93
   2,  82.5, 22.45, 15.36, 18.01, 14.61, 10.95,  7.95,  4.08,  2.10,  1.25
   3,  98.7, 26.78, 18.41, 21.51, 17.49, 13.17,  9.60,  4.92,  2.52,  1.50
7901,"RP-48+00 DMI 1706"
5280,0,141246.0, 41.33857630, -86.32424836, 244.91, 2,10,   0,  0
5301,0,1,3,2,    1707,1,1,        ,2021,07,13,10,34
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.6, 80.3
   1,  65.5,  9.30,  6.48,  7.36,  6.41,  5.16,  4.14,  2.69,  1.78,  1.25
   2,  85.6, 12.11,  8.55,  9.75,  8.39,  6.78,  5.53,  3.60,  2.40,  1.62
   3, 102.4, 14.57, 10.34, 11.78, 10.15,  8.22,  6.72,  4.37,  2.91,  1.97
5280,0,141421.0, 41.33863791, -86.32083440, 247.28, 2, 9,   0,  0
5301,0,1,3,2,    2003,1,1,        ,2021,07,13,10,35
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 78.1, 81.8
   1,  63.2, 19.26, 11.35, 14.67, 11.02,  7.25,  4.93,  2.84,  1.90,  1.43
   2,  82.6, 24.41, 14.57, 18.66, 14.17,  9.46,  6.50,  3.77,  2.51,  1.89
   3,  98.8, 28.95, 17.43, 22.24, 16.98, 11.46,  7.97,  4.61,  3.03,  2.29
5280,0,141508.0, 41.33866478, -86.31782291, 244.56, 2,10,   0,  0
5301,0,1,3,2,    2252,1,1,        ,2021,07,13,10,36
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 76.3, 81.9
   1,  64.5, 15.52, 10.39, 12.54, 10.47,  7.59,  5.87,  3.65,  2.42,  1.72
   2,  83.6, 19.49, 13.09, 15.79, 13.25,  9.70,  7.52,  4.70,  3.12,  2.24
   3, 100.1, 22.94, 15.49, 18.64, 15.67, 11.50,  8.96,  5.59,  3.71,  2.69
5280,0,141601.0, 41.33867489, -86.31486479, 247.14, 2,10,   0,  0
5301,0,1,3,2,    2500,1,1,        ,2021,07,13,10,37
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 78.0, 80.6
   1,  64.7,  9.11,  6.17,  7.19,  5.99,  4.55,  3.44,  2.08,  1.39,  1.02
   2,  84.6, 11.47,  7.78,  9.06,  7.57,  5.78,  4.41,  2.69,  1.82,  1.37
   3, 101.1, 13.39,  9.19, 10.62,  8.91,  6.84,  5.24,  3.20,  2.17,  1.61
5280,0,141715.0, 41.33845598, -86.31192359, 243.11, 2,10,   0,  0
5301,0,1,3,2,    2750,1,1,        ,2021,07,13,10,38
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 78.6, 79.5
   1,  64.8, 10.55,  8.26,  8.78,  7.74,  6.40,  5.25,  3.60,  2.51,  1.72
   2,  84.2, 13.22, 10.35, 11.05,  9.74,  8.07,  6.69,  4.60,  3.21,  2.24
   3, 100.9, 15.37, 12.07, 12.84, 11.33,  9.41,  7.81,  5.38,  3.80,  2.62
5280,0,141817.0, 41.33957113, -86.31026505, 248.96, 2,10,   0,  0
5301,0,1,3,2,    3001,1,1,        ,2021,07,13,10,39
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 82.1, 82.8
   1,  64.7, 10.98,  7.34,  8.09,  6.84,  5.34,  4.17,  2.69,  1.80,  1.27
   2,  84.9, 13.62,  9.16, 10.11,  8.57,  6.74,  5.27,  3.41,  2.30,  1.64
   3, 101.6, 15.88, 10.78, 11.88, 10.09,  7.95,  6.25,  4.05,  2.74,  1.95
7901,"RP-49+00 missing DMI 3209"
5280,0,141928.0, 41.34067847, -86.30913427, 251.97, 2, 9,   0,  0
5301,0,1,3,2,    3209,1,1,        ,2021,07,13,10,40
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.6, 81.0
   1,  66.0,  6.02,  3.96,  4.54,  3.92,  3.16,  2.57,  1.66,  1.09,  0.76
   2,  86.2,  7.70,  5.09,  5.83,  5.02,  4.07,  3.33,  2.15,  1.41,  1.01
   3, 103.4,  9.07,  6.06,  6.92,  5.98,  4.88,  4.00,  2.60,  1.72,  1.19
5280,0,142043.0, 41.34330596, -86.30942129, 251.84, 2, 9,   0,  0
5301,0,1,3,2,    3500,1,1,        ,2021,07,13,10,41
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 82.2, 82.3
   1,  66.4,  6.70,  4.20,  4.87,  4.07,  3.25,  2.67,  1.83,  1.31,  0.94
   2,  86.3,  8.63,  5.46,  6.32,  5.30,  4.25,  3.51,  2.41,  1.72,  1.23
   3, 103.1, 10.27,  6.56,  7.56,  6.36,  5.11,  4.22,  2.91,  2.07,  1.48
5280,0,142146.0, 41.34553521, -86.30971098, 248.41, 2,10,   0,  0
5301,0,1,3,2,    3751,1,1,        ,2021,07,13,10,42
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 78.8, 82.5
   1,  63.7, 11.50,  7.91,  9.34,  7.83,  6.20,  4.99,  3.26,  2.18,  1.52
   2,  83.2, 14.61, 10.16, 11.95, 10.06,  8.02,  6.52,  4.31,  2.90,  2.03
   3,  99.8, 17.35, 12.09, 14.19, 12.03,  9.63,  7.84,  5.19,  3.51,  2.45
5280,0,142234.0, 41.34782313, -86.31001083, 249.30, 2,10,   0,  0
5301,0,1,3,2,    4003,1,1,        ,2021,07,13,10,43
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 79.4, 82.7
   1,  62.9, 12.78,  8.29,  9.80,  7.86,  5.75,  4.27,  2.54,  1.68,  1.16
   2,  82.8, 15.74, 10.25, 12.08,  9.74,  7.21,  5.41,  3.29,  2.22,  1.55
   3,  99.5, 18.25, 11.97, 14.13, 11.38,  8.48,  6.44,  3.96,  2.67,  1.88
5280,0,142327.0, 41.35006439, -86.31029183, 249.71, 2,10,   0,  0
5301,0,1,3,2,    4254,1,1,        ,2021,07,13,10,44
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 78.9, 83.1
   1,  65.7,  5.01,  4.16,  4.41,  4.14,  3.74,  3.31,  2.56,  1.94,  1.43
   2,  86.2,  6.48,  5.39,  5.70,  5.36,  4.84,  4.31,  3.33,  2.50,  1.86
   3, 103.1,  7.64,  6.37,  6.75,  6.39,  5.76,  5.11,  4.01,  3.04,  2.26
5280,0,142414.0, 41.35233209, -86.31055768, 248.21, 2,10,   0,  0
5301,0,1,3,2,    4502,1,1,        ,2021,07,13,10,45
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.1, 82.1
   1,  66.2,  2.79,  2.28,  2.43,  2.31,  2.15,  2.00,  1.75,  1.48,  1.23
   2,  86.4,  3.57,  2.94,  3.14,  2.98,  2.78,  2.58,  2.28,  1.94,  1.62
   3, 103.9,  4.23,  3.48,  3.71,  3.51,  3.27,  3.06,  2.69,  2.31,  1.93
5280,0,142506.0, 41.35454518, -86.31085285, 247.19, 2, 9,   0,  0
5301,0,1,3,2,    4750,1,1,        ,2021,07,13,10,46
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 79.8, 82.6
   1,  67.2,  2.64,  2.25,  2.38,  2.27,  2.13,  2.01,  1.78,  1.54,  1.33
   2,  87.8,  3.45,  2.91,  3.08,  2.95,  2.78,  2.61,  2.31,  2.00,  1.72
   3, 105.0,  4.05,  3.44,  3.64,  3.48,  3.28,  3.09,  2.73,  2.38,  2.03
7901,"RP-50+00 missing DMI 5000"
5280,0,142611.0, 41.35680553, -86.31115339, 243.21, 2, 9,   0,  0
5301,0,1,3,2,    5000,1,1,        ,2021,07,13,10,47
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.7, 81.4
   1,  66.9,  4.26,  2.99,  2.94,  2.74,  2.41,  2.15,  1.78,  1.52,  1.28
   2,  87.3,  5.40,  3.79,  3.76,  3.50,  3.07,  2.74,  2.26,  1.92,  1.65
   3, 104.1,  6.27,  4.46,  4.44,  4.11,  3.61,  3.22,  2.66,  2.27,  1.94
5280,0,142811.0, 41.35906376, -86.31144670, 247.91, 2, 9,   0,  0
5301,0,1,3,2,    5254,1,1,        ,2021,07,13,10,49
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 81.3, 82.7
   1,  67.3,  2.81,  2.33,  2.44,  2.31,  2.12,  1.97,  1.74,  1.53,  1.32
   2,  87.9,  3.58,  3.00,  3.12,  2.94,  2.72,  2.52,  2.21,  1.94,  1.66
   3, 105.2,  4.23,  3.61,  3.74,  3.51,  3.26,  3.02,  2.65,  2.35,  2.03
7901,"Last Test End File mirror on US-30 green sign DMI 5559"
5280,0,142917.0, 41.36180838, -86.31182704, 247.79, 2, 9,   0,  0
5301,0,1,3,2,    5560,1,1,        ,2021,07,13,10,50
5302,0,1,8,0,0,0,0,0,"          "
5303,1,N0   , 80.2, 81.0
   1,  66.6,  2.39,  1.98,  2.15,  2.06,  1.91,  1.79,  1.62,  1.46,  1.24
   2,  87.2,  3.10,  2.66,  2.74,  2.63,  2.49,  2.32,  2.10,  1.88,  1.57
   3, 104.5,  3.64,  3.13,  3.27,  3.14,  2.97,  2.77,  2.50,  2.24,  1.88
